id,title,link,author,publication_date,source,verdict,rating,price
11,Audi Q5 Sportback 2025 review: stylish looks can’t hide its flaws,https://www.autoexpress.co.uk/audi/q5/354663/audi-q5-sportback-2025-review-stylish-looks-cant-hide-its-flaws,Jordan Katsianis,2025-05-26,Auto Express,"The Audi Q5 Sportback does nothing its predecessor didn’t, and despite more tech and a nicely-judged mild-hybrid system, these good bits are offset by a cabin that’s lacking in material quality and efficiency that seems at the mercy of the car’s added overall weight. If you’re in the market for a diesel-powered fastback SUV of this genre, then it does the job better than most; we’re just getting a little bored of this type of compromised bodystyle – and the disappearance of some rivals suggest customers feel the same.",3.5,5349
12,"New MINI JCW Electric 2025 review: fast, frantic and playful",https://www.autoexpress.co.uk/mini/mini-cooper/366938/new-mini-john-cooper-works-electric-2025-review-fast-frantic-and-playful,Alex Ingram,2025-05-27,Auto Express,"John Cooper Works’ first stab at an electric hot hatch has its flaws, but it’s hard to deny that it’s a huge giggle to drive. Fast, frantic and playful, there’s an awful lot to make you smile, which is a huge hurdle that very few electric cars have managed to overcome. Still, once many prospective buyers put on their sensible hats, the cons can become too much to overlook. The small rear-seat space, the potentially limited range and particularly the relentlessly firm ride make this MINI a little harder to justify.",3.5,10200
27,MGS5 EV review,https://www.autoexpress.co.uk/mg/mgs5,"Jordan Katsianis, Max Adams",2025-06-04,Auto Express,"The MGS5 EV takes the brand’s electric SUV range to new heights thanks to its combination of space, standard equipment and range. It also feels appropriately tuned for UK roads and is surprisingly powerful. What’s missing, though, is a sense of character or panache. As such, rivals have this MG cornered, with some offering better outright value, while other, more expensive options, feel more special.",4.0,28485
13,New Fiat Grande Panda Hybrid 2025 review: spacious supermini is far from efficient,https://www.autoexpress.co.uk/fiat/grande-panda/366928/new-fiat-grande-panda-hybrid-2025-review-spacious-supermini-far-efficient,Phil McNamara,2025-05-27,Auto Express,"When it comes to the Fiat Grande Panda Hybrid – claimed to be 'Pandastic' by '90s rapper Shaggy – I’m not entirely ‘Mr Lover Lover’. That’s down to the way it drives: the ride lacks finesse and fuel consumption disappointed on the launch. Other aspects? The interior and exterior design are irresistible, the cabin and boot spacious for a supermini and the pricing is great value, making the rest an absolute smash hit.",3.5,10200
14,"Skoda Superb automatic hatch long-term test: 21,000 miles of comfort and just the odd squeak",https://www.autoexpress.co.uk/skoda/superb/362597/skoda-superb-automatic-hatch-long-term-test-simply-clever-slightly-squeaky,Pete Gibson,2025-05-28,Auto Express,"The Skoda Superb has shone throughout our time with it. I’m still a massive fan, thanks to the car’s clever features, excellent comfort and massive boot, which has swallowed all my photographic kit with ease. The few issues I’ve had with the Superb have been minor and haven’t detracted from the overall experience.",4.5,2940
15,Renault Kangoo van review,https://www.autoexpress.co.uk/renault/kangoo/van,Sam Naylor,2025-05-29,Auto Express,"The newest Renault Kangoo is the most efficient yet, while it features more space inside, too. It drives well, is generously equipped and the availability of petrol, diesel or electric power means there should be a version to suit. Safety kit is a strong point, although much of it is optional, and there are two wheelbase options to choose from, along with a Crew van model.",4.0,10200
16,Honda CR-V review,https://www.autoexpress.co.uk/honda/cr-v,"Max Adams, Alex Ingram",2025-05-29,Auto Express,"Does the Honda CR-V still stand for ‘Compact Runabout Vehicle? Well, at over 4.7 meters in length for this sixth-generation version, we wouldn’t say so. Perhaps ‘Comfortable Runabout Vehicle’? Again, we’d be inclined to say you can find several rivals that are more comfortable.",3.5,45235
17,"Used BMW X3 (Mk3, 2017-2024) buyer's guide: the sweet spot between the X1 and X5",https://www.autoexpress.co.uk/bmw/x3/356834/used-bmw-x3-mk3-2017-2024-buyers-guide-sweet-spot-between-x1-and-x5,Richard Dredge,2025-05-29,Auto Express,"Of BMW's various SUVs, it's the X3 that hits the spot for many people because it's just the right size. As a result, it's more wieldy and affordable than an X5, it's more roomy and usable than an X1, but it has everything that you'd expect of a BMW: a user-friendly cabin, excellent handling, efficient engines, and refinement levels that make long-distance journeys a breeze. The first-generation X3 disappointed in some ways, but the Mk2 was far better, with the Mk3 even better in a multitude of ways. That's just as well, because by the time it appeared the X3 Mk3 was up against some very desirable and talented rivals, and we'd urge you to look at some of those alongside the BMW, because there are so many excellent options within the segment.",,10200
18,Nissan Townstar van review,https://www.autoexpress.co.uk/nissan/townstar,Sam Naylor,2025-05-30,Auto Express,"The Nissan Townstar is a strong contender in the small van segment and the brand’s focus on the electric version makes sense. The 178-mile range of the Townstar EV is competitive and while it doesn’t redefine the laws of physics with its performance, the compact electric van is relatively comfortable, practical and has some high-end tech features, if you’re prepared to pay for them. If your business is auditioning for an urban runabout or last-mile delivery vehicle, this Nissan could play a starring role.",4.0,26545
19,Citroen Dispatch van review,https://www.autoexpress.co.uk/citroen/dispatch,Dean Gibson,2025-05-30,Auto Express,"While the Citroen Dispatch name has been around since 1994, the current third generation was launched in 2016. It was given a facelift at the end of 2024, but the van’s overall appeal in the medium-sized van sector remains unchanged. It’s not the most spacious van in the class, but it’s quite comfortable to drive, has plenty of car-derived equipment on board and is available with either diesel or all-electric powertrains. There are two body lengths on offer, while a crew van variant offers a level of versatility that will be useful for certain businesses. Overall, it’s a decent medium-sized van with no vices and plenty of useful touches.",4.0,10200
20,Nissan Qashqai vs Dacia Bigster: big-selling SUV faces a brand-new threat,https://www.autoexpress.co.uk/car-group-tests/366968/nissan-qashqai-vs-dacia-bigster-big-selling-suv-faces-brand-new-threat,Dean Gibson,2025-05-31,Auto Express,Winner: Dacia Bigster,,10200
21,Laser Tools Combination Pliers review,https://www.autoexpress.co.uk/product-reviews/366963/laser-tools-combination-pliers-review,,2025-06-01,Auto Express,,4.0,26495
22,Best toolbags 2025,https://www.autoexpress.co.uk/accessories-tyres/36244/best-tool-bags,Kim Adams,2025-06-02,Auto Express,"With so many similar designs and prices, picking a winner was difficult and the results were very close, but the Forge Steel is our choice here. Its low price and usable layout secure the victory from the other Screwfix offering by Magnusson. The keenly priced Silverline just edged the win among the larger bags we tested.",,10200
23,Volkswagen ID. Buzz Cargo van review,https://www.autoexpress.co.uk/volkswagen/id-buzz/id-buzz-cargo,Andy Goodwin,2025-06-02,Auto Express,"If you're a business looking for a van that creates a positive impression wherever it goes, then the Volkswagen ID. Buzz Cargo could be it. It has retro-inspired looks that mean it stands out from rival vans, while its all-electric running gear offers an excellent driving range for an electric van along with very fast charging.",4.5,10200
24,Renault Trafic van review,https://www.autoexpress.co.uk/renault/trafic,Andy Goodwin,2025-06-03,Auto Express,"This generation of Renault Trafic has been around for over a decade, but several big rounds of updates have kept it looking and feeling reasonably fresh. The latest was in 2022, ushering in an updated nose and new tech, most of which now comes as standard. In 2024 the electric Trafic E-Tech also arrived in the UK, with just as much cargo space as the diesel panel van and a respectable payload, but a fairly short driving range and charging speed that tops out at a sluggish 50kW. It could still slash bills in urban use, but for jobs further afield, one of the diesels will be a better bet.",4.5,10200
25,Volkswagen Caddy Cargo van review,https://www.autoexpress.co.uk/volkswagen/caddy,Andy Goodwin,2025-06-03,Auto Express,"Thanks to its Volkswagen Golf-based underpinnings, the latest Caddy Cargo maintains its reputation for being one the best, most car-like small vans to drive. With a choice of punchy petrol or diesel engines it’s easy to pilot around town and on the motorway, while the arrival of a plug-in hybrid adds another string to its bow. Badged ‘eHybrid’ it has an electric-only range of around 70 miles, slashing its CO2 emissions for lower bills.",4.0,10200
26,Nissan Ariya review,https://www.autoexpress.co.uk/nissan/ariya,"Shane Wilkinson, Steve Walker",2025-06-03,Auto Express,,4.0,39645
278,New vs used cheap cars: Kia Picanto or MINI Cooper?,https://www.autoexpress.co.uk/car-group-tests/366388/new-vs-used-cheap-cars-kia-picanto-or-mini-cooper,Richard Ingram,2025-04-02,Auto Express,,,15600
28,Volkswagen ID.7 Tourer Pro S Match long-term test: New home wallbox makes comfortable cruiser even cheaper,https://www.autoexpress.co.uk/volkswagen/id7/366225/volkswagen-id7-tourer-pro-s-match-long-term-test,Phil McNamara,2025-06-04,Auto Express,"There’s much to like about the ID.7. It’s quick, efficient, very calming to cruise about in, and everyone loves its spaciousness. But black paint is hard to keep clean, the phantom error messages – such as wiper or child locking faults – bewilder and the brakes are awful.",4.0,2742
29,Best hand-cleaning wipes 2025,https://www.autoexpress.co.uk/product-group-tests/366994/best-hand-cleaning-wipes-2025,,2025-06-04,Auto Express,"It’s an easy win for Hygimax’s wipes. They offer great value and the best cleaning performance. Screwfix’s No Nonsense wipes take second place. They’re not quite as good at cleaning, but there are three times as many wipes in each pot compared with rivals. Sika’s Wonder Wipes are third.",,10200
30,New MINI John Cooper Works Aceman 2025 review: fun but far from perfect,https://www.autoexpress.co.uk/mini/aceman/366996/new-mini-john-cooper-works-aceman-2025-review-fun-far-perfect,Alex Ingram,2025-06-04,Auto Express,"Fun isn’t hard to come by in the John Cooper Works Aceman - but neither are the flaws. The rapid powertrain rarely fails to throw up a giggle, but sharp steering only manages to inject a veneer of agility over what is a very heavy - and rather numb - car for its size. The ride is too firm, and the interior space isn’t great for those in the back, but those up front are treated to a cabin that feels more special than its rivals - all the more impressive when the Aceman undercuts those competitors on price.",3.5,286
31,Cupra Formentor review,https://www.autoexpress.co.uk/cupra/formentor,"Shane Wilkinson, Ellis Hyde",2025-06-04,Auto Express,The Cupra Formentor has been a real success for the sporty Spanish brand since its launch back in 2020. Its athletic styling and unique copper detailing help it stand out in a crowded small SUV marketplace that includes mainstream and more premium rivals.,4.0,34640
32,Volkswagen Transporter van review,https://www.autoexpress.co.uk/volkswagen/transporter,Andy Goodwin,2025-06-04,Auto Express,"Volkswagen and Ford have joined forces, so the latest Transporter now shares a great deal with the top-selling Ford Transit Custom. Some may bemoan the fact the Transporter has lost some of its individuality as a result, but elsewhere things are very positive.",4.5,15600
33,Citroen e-C4 review,https://www.autoexpress.co.uk/citroen/e-c4,Dean Gibson,2025-06-04,Auto Express,"If you’re looking for a five-seat electric family car that won’t break the bank, then the Citroen e-C4 is a canny choice in a competitive market. It has plenty of room for passengers and luggage, while the soft seats and suspension mean that it delivers great comfort. The recent facelift didn’t make any drastic changes beyond the new front end, but prices have been cut by a significant amount to make the e-C4’s shortcomings in some areas (a relatively short driving range, some older on-board tech and poor efficiency at higher speeds) even easier to overlook.",4.0,27640
34,"Used Audi A5 (Mk2, 2016-2024) buyer’s guide: a stylish, premium coupe that’s easy to live with",https://www.autoexpress.co.uk/audi/a5/356338/used-audi-a5-mk2-2016-2024-buyers-guide-stylish-premium-coupe-thats-easy-live,Richard Dredge,2025-06-05,Auto Express,"For years Audi has been on the receiving end of criticism about its cars’ dynamics, and it’s no different with the A5 Mk2. These coupés and cabriolets make superb cruisers with their refinement, power and comfort, but you’re unlikely to get up just to go for a blast down a B-road in one. It might lack the sparkle of a BMW 4 Series, but the A5 is hardly a duffer in this respect. It’s easy and enjoyable to drive, if not rewarding, but it is easy to live with. As with most German cars, it comes at a premium cost, but we reckon it’s a price worth paying.",,20900
35,ESR Qi2 MagSafe car phone charger review,https://www.autoexpress.co.uk/product-reviews/367006/esr-qi2-magsafe-car-phone-charger-review,,2025-06-05,Auto Express,,4.5,38140
36,Fiat Scudo review,https://www.autoexpress.co.uk/fiat/scudo,Sam Naylor,2025-06-05,Auto Express,"The Fiat Scudo is a good mid-size panel van that drives well and has lots of standard kit, but it does miss out on a class-leading carrying capacity. If you don’t need the maximum amount of cargo volume then it could be a great choice alongside its siblings (the Vauxhall Vivaro, Peugeot Expert, Toyota Proace and Citroen Dispatch). Since all those vans are incredibly similar, the best choice for you will likely be whichever is cheapest at the time of purchase.",4.0,13325
37,"Used Audi Q8 (Mk1, 2018-date) buyer’s guide: refined but expensive to run",https://www.autoexpress.co.uk/audi/q8/367014/used-audi-q8-mk1-2018-date-buyers-guide-refined-expensive-run,Richard Dredge,2025-06-05,Auto Express,"The Audi Q8 is compromised in a few key ways. It’s costly to buy and run, and not especially engaging to drive, plus it’s also not quite as practical as it should be for its size. But it’s incredibly refined, packed with all of the latest comfort and safety tech, has a roomy cabin, and is effortless to drive on even the longest journeys. Even at this end of the market there’s no such thing as the perfect car, with the Q8’s rivals all open to criticism. However, while we like the Audi, if you’re buying a premium XXL coupé-SUV, we’d check out a few of those alternatives before you decide.",,46000
38,Peugeot Expert van review,https://www.autoexpress.co.uk/peugeot/expert,Sam Naylor,2025-06-05,Auto Express,"While the Peugeot Expert was launched way back in 2016, a recent facelift means it is still very relevant to modern van buyers. Other vans in this class are more spacious inside, but the Expert is comfortable, well-equipped and has an excellent electric model available as well as the normal diesel options. Two body length options and a crew van mean there should be a version to suit most businesses, and the new design is rather modern looking, at least from the front.",4.0,10200
39,Vauxhall Vivaro van review,https://www.autoexpress.co.uk/vauxhall/vivaro,Sam Naylor,2025-06-06,Auto Express,"The medium-sized Vauxhall Vivaro van has been part of the Vauxhall van line-up since the early 2000s. It has been a popular choice for buyers, especially because it's one of the few vehicles still ‘Made in Britain’: a fact that Vauxhall is proud to promote using badges on the back doors.",4.0,35737
40,Volkswagen ID.3 review,https://www.autoexpress.co.uk/volkswagen/id3,"Dean Gibson, Ellis Hyde",2025-06-06,Auto Express,,4.0,30850
41,"Audi Q6 Sportback e-tron review: new sexy roof, same solid EV",https://www.autoexpress.co.uk/audi/q6-e-tron/367035/audi-q6-sportback-e-tron-review-new-sexy-roof-same-solid-ev,Steve Walker,2025-06-08,Auto Express,"The Q6 e-tron comes across as Audi’s most convincing electric car to date. The Sportback version gives improved EV range and a sportier shape for a modest reduction in practicality, and a £2,500 premium. The car is still very much in the familiar Audi vein - solid, secure, comfortable and classy but without necessarily entertaining the driver as much as some rivals can.",4.0,9289
42,Hyundai Bayon review,https://www.autoexpress.co.uk/hyundai/bayon,"Max Adams, Ellis Hyde",2025-06-09,Auto Express,,3.5,22905
1358,Renault ZOE hatchback review,https://www.carbuyer.co.uk/renault/zoe,Andy Goodwin,2023-04-11,Carbuyer,,3.6,
43,Toyota Urban Cruiser review,https://www.autoexpress.co.uk/toyota/urban-cruiser,Ellis Hyde,2025-06-09,Auto Express,"The new Toyota Urban Cruiser isn’t necessarily a bad car, it’s just unremarkable. We found it lacking personality, charm and a unique selling point that will allow it to triumph in the thunderdome that is the small electric SUV segment. Put simply, whatever it can do, most rivals can probably do it better. Customers expect more from this brand, and rightfully so considering this car’s potential price.",3.0,15600
44,BMW 1 Series review,https://www.autoexpress.co.uk/bmw/1-series,"Shane Wilkinson, Alastair Crooks",2025-06-10,Auto Express,"The BMW 1 Series remains a solid entry in the premium hatchback segment thanks to its dynamic driving experience, a well-built cabin, and strong efficiency. While the 120 mild-hybrid and the BMW M135 hot hatch are equipped with impressive powertrains, we’d like a bit more choice when it comes to the 1 Series’ engine line-up.",4.0,32060
45,"New Polestar 3 Long Range Single Motor review: less money, more range",https://www.autoexpress.co.uk/polestar/3/367043/new-polestar-3-long-range-single-motor-review-less-money-more-range,Alastair Crooks,2025-06-10,Auto Express,"The single-motor Polestar 3 is an attractive proposition, but in contrast to plenty of other EV model line-ups that offer both single and dual-motor configurations, the Long Range Dual Motor is the edition we’d opt for. It might cost more and have less range, but they’re fairly negligible downsides when you consider the increase in performance it offers – and the improved ride quality thanks to the brilliant adaptive air suspension.",4.0,2000
46,New BMW iX3 prototype review: first Neue Klasse model is an exceptional EV,https://www.autoexpress.co.uk/bmw/ix3/367046/new-bmw-ix3-prototype-review-first-neue-klasse-model-exceptional-ev,Phil McNamara,2025-06-11,Auto Express,"Based on our early drive, it seems that BMW has seized this pivotal opportunity to redefine its cars. We can’t wait to get our hands on the production iX3 later this year.",,10200
47,Citroen Relay van review,https://www.autoexpress.co.uk/citroen/relay,Dean Gibson,2025-06-11,Auto Express,"There aren’t many new van or car models on the road that can trace their roots back nearly 20 years, but the Citroen Relay is one of them. It’s the product of a philosophy that “if it ain’t broke, don’t fix it”, so the basic structure has remained unchanged over two decades, but constant development has helped it keep pace with large van rivals – just about.",4.0,10200
48,Nissan X-Trail review,https://www.autoexpress.co.uk/nissan/x-trail,"Shane Wilkinson, Max Adams",2025-06-11,Auto Express,"Family car buyers will be pleased to know there have been some big improvements to the Nissan X-Trail SUV, delivering more passenger space, better cabin quality and a more extensive list of standard safety features. It’s still as practical as ever, comfortable, and just as easy to use for long trips as it is for everyday commutes.",3.5,35535
49,"Used Suzuki Across (Mk1, 2020-date) buyer’s guide: a Toyota RAV4 in disguise",https://www.autoexpress.co.uk/suzuki/across/367077/used-suzuki-across-mk1-2020-date-buyers-guide-toyota-rav4-disguise,Richard Dredge,2025-06-11,Auto Express,"With the narrowest possible model range and a high asking price, the Suzuki Across was never going to be a big hit with buyers. But while the Across has never been all that alluring as a new purchase, as a used buy it’s more enticing. The entry cost makes more sense, and with all Acrosses being so well equipped, as a £25k buy it’s easy to be tempted. We wouldn’t try to dissuade you from making the leap, but before you do, bear in mind that the more expensive RAV4 comes with an extra two years of warranty as standard, and 90 litres of extra boot space thanks to its smaller battery pack.",,20993
50,Ineos Grenadier Trialmaster long-term test: characterful 4x4 is a guilty pleasure,https://www.autoexpress.co.uk/ineos/grenadier/365723/ineos-grenadier-trialmaster-long-term-test-old-school-suv-highly-engaging,Dean Gibson,2025-06-12,Auto Express,"By most metrics, the Ineos Grenadier isn’t a great car, but it’s one that gets under your skin. Much like the Land Rover Defender that inspired it, the quirks and foibles were frustrating at times, but there’s enough character about the 4x4 that I found it easy to forgive. Considering Ineos’s aim with it, I’d say that’s mission accomplished.",3.5,44000
51,Vauxhall Astra Sports Tourer review,https://www.autoexpress.co.uk/vauxhall/astra/sports-tourer,,2025-06-12,Auto Express,"Even though the Vauxhall Astra Sports Tourer is the follow-up to the regular hatch, it is perhaps its best version to date, balancing the needs of practicality, efficiency, comfort, and a decent drive better than the original.",4.0,28990
52,Volkswagen ID.7 review,https://www.autoexpress.co.uk/volkswagen/id7,"Shane Wilkinson, Richard Ingram",2025-06-12,Auto Express,"With the march towards electrification gathering pace and the arrival of ever more efficient EVs that can go further on a charge, the Volkswagen ID.7 needs to be good. And thankfully, the German brand has worked hard to learn from experience with its early EVs.",4.0,51585
53,Autoglym Car Care Experience Day review,https://www.autoexpress.co.uk/product-reviews/367082/autoglym-car-care-experience-day-review,,2025-06-12,Auto Express,,4.5,23990
54,Genesis Electrified GV70 review,https://www.autoexpress.co.uk/genesis/gv70/electrified,Jordan Katsianis,2025-06-13,Auto Express,"Most rational minds will note the mediocre range figure and look towards more efficient German rivals, but this new Genesis Electrified GV70 has plenty to offer. A superb cabin, excellent tech and impressive straight-line speed are all strong points, but it’s the new ‘virtual gear shift’ feature which completely steals the show, creating a more engaging, and distinctive, driving experience than in any rival EV.",4.0,42455
55,Toyota C-HR review,https://www.autoexpress.co.uk/toyota/c-hr,"Shane Wilkinson, Max Adams",2025-06-13,Auto Express,"The Toyota C-HR impresses with excellent real-world efficiency, a plush cabin, and an interior filled with tech that’s easy to use. Being a modern Toyota, it comes standard with many safety features, and – like the original – its all-hybrid engine lineup means low emissions. Credit should be given to the designers for keeping the same bold styling that made the Mk1 such a hit, because this Mk2 version looks just as dramatic.",4.0,7695
56,Audi A5 review,https://www.autoexpress.co.uk/audi/a5,"Steve Walker, Paul Barker",2025-06-13,Auto Express,"The latest Audi A5 replaces the old A4 saloon and Avant, as well as the various incarnations of the old A5. It’s bigger and better finished inside than any of its predecessors, but it’s also much more expensive.",4.0,43880
57,Citroen e-C4 vs Volkswagen ID.3: which affordable EV is best for the family?,https://www.autoexpress.co.uk/car-group-tests/367093/citroen-e-c4-vs-volkswagen-id3-which-affordable-ev-best-family,Dean Gibson,2025-06-14,Auto Express,"While the Volkswagen Golf set a benchmark in the compact hatch class, the Volkswagen ID.3 hasn’t quite had the same impact in the EV sector. Updates have improved the car, though, while the latest Pure-battery variant delivers good value for money while still offering a decent range.",,10200
338,MiRider 20 folding electric bike review,https://www.autoexpress.co.uk/product-reviews/366788/mirider-20-folding-electric-bike-review,,2025-05-12,Auto Express,,4.0,24625
58,New DS No8 2025 review: an impressive return to form for the French brand,https://www.autoexpress.co.uk/ds/no8,Jordan Katsianis,2025-06-15,Auto Express,"There’s no denying the DS No8 is a niche car from a niche manufacturer in the UK, but look beyond this and there’s a lot on offer for buyers who want a high-spec, high-mileage electric car. There’s really very little to mark the DS No8 down; it rides extremely well, has a very impressive range, a superb interior and even compares relatively well in terms of depreciation against other premium EV rivals.",4.0,10200
59,New Skoda Elroq vRS 2025 review: hot SUV is good but lacks some sparkle,https://www.autoexpress.co.uk/skoda/elroq/367090/new-skoda-elroq-vrs-2025-review-hot-suv-good-lacks-some-sparkle,Richard Ingram,2025-06-16,Auto Express,"The Skoda Elroq vRS is, fundamentally, a really good car. The thing is, it’s almost impossible to recommend alongside the already brilliant standard model; it doesn’t feel significantly harder, sharper or faster, plus the styling upgrades are so subtle only the keenest eye will spot what’s lurking beneath the skin. When it comes to the Elroq, basic really is best.",4.0,2722
60,Best wash mitts 2025,https://www.autoexpress.co.uk/product-group-tests/85240/best-car-wash-mitts,Kim Adams,2025-06-16,Auto Express,"Armor All finally loses its crown here, but still secures a podium place because it’s very similar to the test-winning Halfords. Splitting the two is Dodo Juice’s Captain Crevice, which is one of the easiest designs to use.",,10200
61,New Audi A5 e-hybrid quattro review: is the plug-in hybrid coming of age?,https://www.autoexpress.co.uk/audi/a5/367033/new-audi-a5-e-hybrid-quattro-review-plug-hybrid-coming-age,Steve Walker,2025-06-16,Auto Express,"You need a car with a plug if you want to control your company car tax bill these days, and the e-hybrid models fill that role in the Audi A5 range. Audi’s new-generation plug-in hybrid technology combines its petrol and electric power sources well and slots into the A5 to create a high-quality, comfortable and relaxing compact executive car. It matches rivals for efficiency but isn’t the most rewarding car to drive in the class.",4.0,5780
62,Peugeot Boxer van review,https://www.autoexpress.co.uk/peugeot/boxer,Sam Naylor,2025-06-16,Auto Express,"The Peugeot Boxer is a popular large panel van that’s been on sale for many years through facelift after facelift. The latest one has added more tech but the fundamentals are still here: it has a range of punchy but noisy diesel engines, loads of cargo space and a wide array of body styles to choose from. There’s also an electric e-Boxer that delivers good range and more refined driving manners. Overall the Boxer is worth considering but rival vans are available that feel more up-to-date.",4.0,10200
63,New Bentley Bentayga Speed 2025 review: no need to mourn the loss of W12,https://www.autoexpress.co.uk/bentley/bentayga/106982/new-bentley-bentayga-speed-2025-review-no-need-mourn-loss-w12,Alastair Crooks,2025-06-16,Auto Express,"The Bentley Bentayga Speed may have sacrificed a core component of the brand’s performance models over the past two decades by shifting to V8 power, but we’re not mourning the loss too much. The Speed’s brief actually feels better suited to this new powertrain, though we’d like some extra theatre to match the improved dynamics. For better and for worse, the Bentayga’s age is starting to show in places, too.",4.0,59990
64,Jaecoo 7 review,https://www.autoexpress.co.uk/jaecoo/7,"Alex Ingram, Ellis Hyde",2025-06-17,Auto Express,"Jaecoo will be an unfamiliar name to most UK buyers, but it’s part of a Chinese group which, worldwide at least, is much better known. Jaecoo is a sub-division of Chery and was created as an SUV maker for export markets. Chery also owns the Omoda brand, which is another recent newcomer to Britain. Indeed, the Jaecoo 7 and Omoda 5 share the same platform.",3.0,29435
